command,mean,stddev,median,user,system,min,max,parameter_m
./bin/fftw_c 5000 10,0.015055427394545457,0.0038706147717219126,0.01362271894,0.014759485454545453,0.0004810454545454543,0.010327761940000001,0.02098459494,10
./bin/fftw_c 5000 11,0.019571935849090907,0.004243415818960675,0.020378909940000002,0.01975321272727272,0.00014125454545454538,0.012777894940000001,0.026121191940000003,11
./bin/fftw_c 5000 12,0.025388351030909088,0.0032849117489583642,0.02497156894,0.025929485454545455,0.00003089999999999998,0.021700606940000002,0.031511674940000005,12
./bin/fftw_c 5000 13,0.058562672030909084,0.002550014619547521,0.057225356940000006,0.058734303636363644,0.00012089090909090904,0.05580323394,0.06412675394,13
./bin/fftw_c 5000 14,0.1449304263036364,0.00490613529662412,0.14486263994,0.14496039454545454,0.00011189090909090902,0.13880781594000002,0.15539802394000002,14
./bin/fftw_c 5000 15,0.2496970542127273,0.004699206950329614,0.24822919494000004,0.24953539454545448,0.00008952727272727266,0.24433501794,0.25885077594,15
