command,mean,stddev,median,user,system,min,max,parameter_m
./bin/fftw_zig 5000 10,0.0178499446,0.005297261767270012,0.0188086496,0.01713029090909091,0.0006292890909090909,0.0088944196,0.0275227226,10
./bin/fftw_zig 5000 11,0.022461449327272728,0.002770302227689827,0.0225732886,0.022025472727272722,0.0004176090909090909,0.0172252336,0.026278819600000003,11
./bin/fftw_zig 5000 12,0.038712071509090916,0.004562163392708562,0.036547276600000005,0.037980018181818176,0.000625470909090909,0.0353235016,0.049328301600000006,12
./bin/fftw_zig 5000 13,0.10845637432727274,0.00218250554314637,0.1086781626,0.10793392727272727,0.0003284509090909091,0.1053564086,0.11281256160000001,13
./bin/fftw_zig 5000 14,0.2301404497818182,0.0042103650007832985,0.2291958466,0.22900783636363634,0.0006911272727272727,0.2246843766,0.23806221360000002,14
./bin/fftw_zig 5000 15,0.4879736127818182,0.008052763699277897,0.48806899560000006,0.48663638181818186,0.0004948581818181819,0.47581158860000006,0.5011014416,15
